config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
q8-16-32,mixed,4,long1,55,0,751,2069180,1000245,1068935,0,751,2069180,356385,57,4,52,0,2,0,2,79672,160067,760505
q8-16-32,mixed,4,long2,56,349,80502,2186694,1000289,1186055,0,80153,2186345,398304,48,4,43,0,2,0,2,81519,161685,757084
q8-16-32,mixed,5,short1,64,305073,306329,336602,30273,1255,0,1256,31529,1255,1,0,0,0,0,0,0,30273,0,0
q8-16-32,mixed,5,short2,65,712558,715165,745438,30272,2607,0,2607,32880,2607,1,0,0,0,0,0,0,30272,0,0
q8-16-32,mixed,5,io,63,622,161808,1225698,111016,227988,886071,161186,1225076,161186,101,0,0,100,0,0,0,111016,0,0
q8-16-32,mixed,5,long1,61,0,755,2072203,1000272,1071931,0,755,2072203,358686,57,4,52,0,2,0,2,79524,159920,760827
q8-16-32,mixed,5,long2,62,344,80358,2190975,1000288,1190342,0,80014,2190631,400873,48,4,43,0,2,0,2,81374,161632,757281
rr,single,1,cpu,5,0,131,506131,500473,5658,0,131,506131,2125,50,0,0,0,0,0,0,500473,0,0
rr,single,2,cpu,7,0,95,503752,500255,3496,0,95,503752,115,50,0,0,0,0,0,0,500255,0,0
rr,single,3,cpu,9,0,92,503728,500271,3456,0,92,503728,102,50,0,0,0,0,0,0,500271,0,0
rr,single,4,cpu,11,0,175,504797,500394,4402,0,175,504797,174,50,0,0,0,0,0,0,500394,0,0
rr,single,5,cpu,13,0,101,503733,500359,3372,0,101,503733,113,50,0,0,0,0,0,0,500359,0,0
rr,multi,1,A,16,0,1269,1200415,400368,800046,0,1269,1200415,20860,40,0,0,0,0,0,0,400368,0,0
rr,multi,1,B,17,571,8462,1203044,400322,802150,0,7891,1202473,24859,40,0,0,0,0,0,0,400322,0,0
rr,multi,1,C,18,1137,18645,1205937,400317,804482,0,17508,1204800,24837,40,0,0,0,0,0,0,400317,0,0
rr,multi,2,B,21,349,9251,1184786,400344,784093,0,8902,1184437,20660,39,0,0,0,0,0,0,400344,0,0
rr,multi,2,A,20,0,684,1192407,400224,792182,0,684,1192407,22204,40,0,0,0,0,0,0,400224,0,0
rr,multi,2,C,22,624,19435,1206885,400290,805970,0,18811,1206261,23347,42,0,0,0,0,0,0,400290,0,0
rr,multi,3,A,24,0,685,1202450,400266,802182,0,685,1202450,20612,40,0,0,0,0,0,0,400266,0,0
rr,multi,3,B,25,338,9255,1203749,400284,803127,0,8917,1203411,20618,40,0,0,0,0,0,0,400284,0,0
rr,multi,3,C,26,618,19497,1205119,400278,804222,0,18879,1204501,20672,40,0,0,0,0,0,0,400278,0,0
rr,multi,4,A,28,0,657,1201648,400267,801380,0,657,1201648,21014,40,0,0,0,0,0,0,400267,0,0
rr,multi,4,B,29,295,9223,1203549,400264,802989,0,8928,1203254,20627,40,0,0,0,0,0,0,400264,0,0
rr,multi,4,C,30,584,19400,1207025,400309,806131,0,18816,1206441,20628,41,0,0,0,0,0,0,400309,0,0
rr,multi,5,A,32,0,1220,1200332,400307,800025,0,1220,1200332,21274,40,0,0,0,0,0,0,400307,0,0
