config,exp,rep,name,pid,arrive,first,end,cpu,wait,sleep,response,turnaround,maxwait,dispatch,expire,preempt,nsleep,demote,promote,prio,q0,q1,q2
rr,aging,1,stream,50,680484,700120,950250,100031,169734,0,19636,269766,20023,11,0,0,0,0,0,0,100031,0,0
rr,aging,1,stream,51,850852,854291,1054746,100041,103852,0,3439,203894,10209,11,0,0,0,0,0,0,100041,0,0
rr,aging,1,stream,52,960854,960858,1155851,100033,94963,0,4,194997,10022,11,0,0,0,0,0,0,100033,0,0
rr,aging,1,stream,53,1055316,1060577,1255887,100028,100542,0,5261,200571,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,1,stream,54,1161254,1161258,1357176,100034,95887,0,4,195922,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,1,stream,55,1256457,1260794,1457225,100042,100726,0,4337,200768,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,1,stream,56,1361471,1361475,1558514,100034,97008,0,4,197043,10023,11,0,0,0,0,0,0,100034,0,0
rr,aging,1,stream,57,1457795,1461011,1658564,100042,100726,0,3216,200769,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,1,stream,58,1561688,1561692,1759853,100034,98130,0,4,198165,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,1,stream,59,1659134,1661228,1859889,100028,100726,0,2094,200755,10011,11,0,0,0,0,0,0,100028,0,0
rr,aging,1,stream,60,1761905,1761908,1961178,100034,99239,0,3,199273,10022,11,0,0,0,0,0,0,100034,0,0
rr,aging,1,stream,61,1860459,1861444,2061228,100042,100726,0,985,200769,10011,11,0,0,0,0,0,0,100042,0,0
rr,aging,1,stream,62,1962121,1962125,2112100,100031,49947,0,4,149979,10023,12,0,0,0,0,0,0,100031,0,0
rr,aging,2,stream,65,374,9241,289472,100031,189067,0,8867,289098,20022,10,0,0,0,0,0,0,100031,0,0
rr,aging,2,stream,66,747,19252,319435,100030,218656,0,18505,318688,20022,11,0,0,0,0,0,0,100030,0,0
rr,aging,2,stream,67,290113,299555,569842,100031,179697,0,9442,279729,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,2,stream,68,340050,359686,659869,100031,219788,0,19636,319819,20022,11,0,0,0,0,0,0,100031,0,0
rr,aging,2,stream,69,570482,579924,850212,100031,179698,0,9442,279730,20088,10,0,0,0,0,0,0,100031,0,0
rr,aging,2,long,64,0,751,854291,300037,554252,0,751,854291,20088,31,0,0,0,0,0,0,300037,0,0
